ret,vol,sharpe,w_AAPL,w_MSFT,w_GOOGL,w_AMZN,w_TSLA,w_JPM,w_JNJ,w_XOM
0.2403920547499893,0.16599884868963144,1.207189425299346,0.011698359405742561,0.14168085099625452,0.0584421293799426,0.005561820987600097,0.0,0.24012270312047482,0.5194951801320957,0.022998955977889757
0.24112048938254743,0.16617138207802118,1.2103196523220638,0.011831650105773032,0.14342118214893404,0.05712875936575584,0.005412518927994951,3.529486016299163e-18,0.24156467423251268,0.5187827028369664,0.021858512382063055
0.24184892401510405,0.16634538034121865,1.2134327000909684,0.0119648487020334,0.1451614455149229,0.05581573559175082,0.005263079473999815,0.0,0.2430067395978387,0.5180701657274467,0.020717985392007712
0.24257735864766597,0.1665208388978533,1.2165285737716607,0.012097819180327872,0.1469048532115374,0.05449631952154808,0.005116392565117694,0.0,0.24444656833922368,0.5173585976718038,0.01957944951044144
0.24330579328022361,0.16669775312558985,1.2196072800516593,0.01223078299773362,0.1486481956414072,0.053177142904178,0.004969581571338926,1.4108735766687217e-18,0.2458864555535945,0.5166469769763251,0.01844086435542271
0.24403422791278262,0.1668761183943196,1.2226688268878614,0.01236376621931843,0.15039144185608516,0.05185820876028812,0.004822643257853069,6.106353610292423e-18,0.24732641169986547,0.5159353080788976,0.01730222012769203
0.24476266254534687,0.16705593002492575,1.2257132237975332,0.012499688307294528,0.1521239925166621,0.050554936450687614,0.004668515790253986,1.8560371110125422e-17,0.2487730911693668,0.5152221043433832,0.016157671422351767
0.2454910971778947,0.16723718340563865,1.2287404809938114,0.012632254798663608,0.15386623526508428,0.049239253877697786,0.0045203825180051855,0.0,0.25021392042292634,0.5145097433098719,0.015018209807751001
0.24621953181045741,0.16741987383122195,1.2317506105538574,0.012765148463526738,0.15560838311376865,0.047923028555220154,0.004372387296686903,0.0,0.25165467746679104,0.513797582621554,0.013878792482452499
0.24694796644301772,0.16760399660245912,1.234743625677846,0.012898502524907656,0.15735021122716,0.04660638086745663,0.004224476439358796,0.0,0.2530954874775034,0.5130855840782984,0.012739357385315217
0.24767640107558386,0.16778954700396834,1.2377195408404802,0.01303210129533706,0.15909185116310304,0.04528945044401226,0.004076607731086874,1.810106448951435e-18,0.25453636872097,0.5123737075498924,0.011599913095598366
0.24840483570813326,0.16797652030391078,1.240678371781233,0.013164894940850248,0.16083390197559672,0.04397320172494238,0.003928632078843385,0.0,0.25597731378107125,0.5116616044495793,0.010460451049116744
0.24913327034068658,0.16816491175630438,1.2436201354760104,0.01329701818729067,0.16257648347560474,0.04265739911572199,0.003780633809481983,3.519402128555073e-18,0.2574181137085872,0.5109492998315849,0.00932105187172857
0.24986170497325663,0.1683547166012934,1.2465448501229834,0.013429861429398638,0.16431865459356965,0.04134096777981024,0.003632732849362082,7.418937104405408e-18,0.25885890067683004,0.5102372383692366,0.008181644301792764
0.250590139605819,0.1685459300635167,1.2494525351425447,0.01356295538492054,0.166060636530025,0.04002436781388034,0.003484849017775865,1.415590317083536e-18,0.2602997265903657,0.5095252493426337,0.007042215320398881
0.2513185742383749,0.16873854735412908,1.2523432111507025,0.01369604427417375,0.16780262386280972,0.03870777426735325,0.0033369620703750276,0.0,0.2617405515902795,0.5088132554558583,0.005902788479150463
